condition,suite,task_id,task,episode_index,seed,delay_ticks,delay_ms,success,reward,steps,policy_calls,mean_inference_ms,p95_inference_ms,mean_state_prediction_mse,mean_handoff_action_l2,queue_underflows
sync,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,0,0,True,1.0,90,9,354.8098906046814,573.6046917736529,nan,0.47282444685697556,0
sync,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,0,0,False,0.0,280,28,343.06124431480254,427.2393884137272,nan,1.029269191953871,0
sync,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,0,0,True,1.0,117,12,349.66584605475265,441.00163793191314,nan,0.8690909282727675,0
sync,libero_spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,0,1000,0,0,True,1.0,185,19,346.2374249571248,430.1110567525029,nan,0.929875505467256,0
sync,libero_spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,1,1001,0,0,False,0.0,280,28,352.42571781522463,456.7781988531351,nan,1.2030032530978874,0
sync,libero_spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,2,1002,0,0,False,0.0,280,28,345.0068055785128,439.73658969625825,nan,0.6399831446232619,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,1,100,True,1.0,91,10,366.0240964964032,435.1243026554584,nan,0.4329277891665697,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,1,100,False,0.0,280,28,334.8022435259606,395.48851894214744,nan,1.0517332934670978,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,1,100,True,1.0,100,10,370.79651337116957,481.28913091495633,nan,0.5711122933361266,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,2,200,False,0.0,280,28,338.1809225705053,426.4657622203231,nan,0.6681219466306545,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,2,200,False,0.0,280,28,341.6385027313871,443.57101330533624,nan,0.9438009426273681,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,2,200,True,1.0,93,10,364.2176240682602,450.2993321977555,nan,0.6744615005122291,0
