condition,suite,task_id,task,episode_index,seed,delay_ticks,delay_ms,success,reward,steps,policy_calls,mean_inference_ms,p95_inference_ms,mean_state_prediction_mse,mean_handoff_action_l2,queue_underflows
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,4,400,False,0.0,280,28,392.86546681874563,452.2846233099699,nan,0.7336269269386927,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,4,400,False,0.0,280,28,393.62321461417844,431.69931322336197,nan,1.1634313839453239,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,4,400,True,1.0,97,10,377.15363074094057,419.1146262921393,nan,0.8659424583117167,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,4,400,True,1.0,105,11,394.58486454730684,457.32705015689135,nan,0.6618263199925423,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,4,400,False,0.0,280,28,378.8573600883995,417.4125539138913,nan,0.9543119194330992,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,4,400,False,0.0,280,28,373.24760215623036,406.91849952563643,nan,0.9949868967135748,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,4,400,False,0.0,280,28,381.85388521690453,441.54142010957,nan,0.720525733574673,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,4,400,False,0.0,280,28,374.1077949026866,418.595112208277,nan,0.7710338979959488,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,4,400,False,0.0,280,28,417.96158220885053,476.3775155879557,nan,1.1320489600852683,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,4,400,False,0.0,280,28,371.84041951383864,417.12976451963186,nan,0.855588894199442,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,4,400,False,0.0,280,28,392.87526067346334,430.42229441925883,6.968040581038319e-05,0.903698458439774,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,4,400,True,1.0,158,16,379.3591517023742,412.0083237066865,0.00016385900389650487,0.72379236916701,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,4,400,True,1.0,105,11,451.7613967711275,487.66957223415375,3.067053019094601e-05,0.7179122269153595,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,4,400,False,0.0,280,28,401.2690281628498,439.6324778907001,7.324656838102749e-05,1.1699720979840667,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,4,400,False,0.0,280,28,407.81724599323104,485.97888639196754,6.825178289731141e-05,0.8662959745636692,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,4,400,True,1.0,129,13,379.56818436773926,421.3047921657562,3.4329204368077626e-05,0.5709223933517933,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,4,400,False,0.0,280,28,374.3460034020245,446.99480915442103,6.04056099923077e-05,1.1781325218854126,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,4,400,False,0.0,280,28,387.5875518258129,445.76767031103367,6.171841274677988e-05,0.7780515432909683,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,4,400,False,0.0,280,28,378.91628899212395,461.31471665576095,0.00010337524834001131,1.1949723131126828,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,4,400,False,0.0,280,28,370.5689587098147,427.20498563721776,0.00015852066909010992,1.10433163245519,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,4,400,False,0.0,280,28,381.7797767530595,425.9329158812761,nan,0.9495638493034575,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,4,400,False,0.0,280,28,393.2905529093529,439.86031943932176,nan,1.15824814747881,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,4,400,False,0.0,280,28,392.08331777315055,425.8094419725239,nan,0.9199942993345084,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,4,400,False,0.0,280,28,380.44614251703024,423.92282439395785,nan,1.2241905281941097,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,4,400,False,0.0,280,28,378.42430380572165,425.9575062431395,nan,0.9948007342992006,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,4,400,True,1.0,267,27,407.1398327058112,471.71407006680965,nan,0.804150388791011,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,4,400,True,1.0,114,12,390.40851484363276,434.04672518372536,nan,0.5861660525202751,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,4,400,True,1.0,108,11,392.41792481731284,501.03653129190207,nan,0.6203078284859658,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,4,400,False,0.0,280,28,407.82830711188063,451.2491416186094,nan,0.9723684147552207,0
learned_stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,4,400,False,0.0,280,28,384.86661376165495,418.3666395954788,nan,1.1501630379094019,0
